Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Lieli LU;6277;2;Hohenrain;1032;LU;2665723.829;1229446.712;de;01.07.2008
Hochdorf;6280;0;Hohenrain;1032;LU;2665611.606;1224471.734;de;01.07.2008
Baldegg;6283;0;Hohenrain;1032;LU;2663426.129;1227563.943;de;01.07.2008
Inwil;6034;0;Inwil;1033;LU;2670188.329;1220062.04;de;01.07.2008
Gisikon;6038;0;Inwil;1033;LU;2672619.421;1220734.932;de;01.07.2008
Rain;6026;0;Rain;1037;LU;2662671.582;1220548.406;de;01.07.2008
Rain;6026;0;Römerswil;1039;LU;2661965.624;1222039.008;de;01.07.2008
Römerswil LU;6027;0;Römerswil;1039;LU;2661472.347;1225006.373;de;01.07.2008
Herlisberg;6028;0;Römerswil;1039;LU;2659936.305;1227531.47;de;01.07.2008
Hochdorf;6280;0;Römerswil;1039;LU;2663169.67;1224129.756;de;01.07.2008
Urswil;6280;2;Römerswil;1039;LU;2663428.706;1222426.533;de;01.07.2008
Baldegg;6283;0;Römerswil;1039;LU;2662587.323;1225560.618;de;01.07.2008
Rothenburg;6023;0;Rothenburg;1040;LU;2662892.751;1217254.64;de;01.07.2008
Rain;6026;0;Rothenburg;1040;LU;2664078.558;1218953.453;de;01.07.2008
Neuenkirch;6206;0;Rothenburg;1040;LU;2660189.579;1216774.312;de;01.07.2008
Aesch LU;6287;0;Schongau;1041;LU;2661155.067;1235383.803;de;01.07.2008
Schongau;6288;0;Schongau;1041;LU;2663032.081;1235467.498;de;01.07.2008
Ebikon;6030;0;Adligenswil;1051;LU;2669641.681;1214532.785;de;01.07.2008
Adligenswil;6043;0;Adligenswil;1051;LU;2670618.284;1213830.642;de;01.07.2008
Ebikon;6030;0;Buchrain;1052;LU;2668969.23;1215870.923;de;01.07.2008
Buchrain;6033;0;Buchrain;1052;LU;2668929.526;1217175.097;de;01.07.2008
Perlen;6035;0;Buchrain;1052;LU;2669598.279;1217953.59;de;01.07.2008
Dierikon;6036;0;Dierikon;1053;LU;2670991.89;1216278.213;de;01.07.2008
Root;6037;0;Dierikon;1053;LU;2670590.658;1217224.433;de;01.07.2008
Luzern;6004;0;Ebikon;1054;LU;2665661.302;1213137.408;de;01.07.2008
Luzern;6006;0;Ebikon;1054;LU;2666595.472;1213367.073;de;01.07.2008
Emmenbrücke;6020;0;Ebikon;1054;LU;2665331.353;1213275.103;de;01.07.2008
Ebikon;6030;0;Ebikon;1054;LU;2668669.426;1214831.503;de;01.07.2008
Emmen;6032;0;Ebikon;1054;LU;2666666.988;1214656.589;de;01.07.2008
Gisikon;6038;0;Gisikon;1055;LU;2672955.674;1219990.744;de;01.07.2008
Weggis;6353;0;Greppen;1056;LU;2676141.227;1211661.496;de;01.07.2008
Greppen;6404;0;Greppen;1056;LU;2676008.352;1212183.162;de;01.07.2008
Gisikon;6038;0;Root;1065;LU;2673596.576;1220145.792;de;01.07.2008
Honau;6038;2;Root;1065;LU;2673551.213;1220626.677;de;01.07.2008
Luzern;6005;0;Horw;1058;LU;2666841.827;1209262.774;de;01.07.2008
St. Niklausen LU;6005;2;Horw;1058;LU;2668093.763;1208884.206;de;01.11.2014
Kastanienbaum;6047;0;Horw;1058;LU;2667857.277;1206866.527;de;01.07.2008
Horw;6048;0;Horw;1058;LU;2666465.681;1207307.765;de;01.07.2008
Hergiswil NW;6052;0;Horw;1058;LU;2666396.77;1205646.797;de;01.07.2008
Luzern;6005;0;Kriens;1059;LU;2664924.884;1210308.436;de;01.07.2008
Kriens;6010;0;Kriens;1059;LU;2663133.306;1207586.57;de;01.07.2008
Obernau;6012;0;Kriens;1059;LU;2660720.603;1208822.812;de;01.07.2008
Eigenthal;6013;0;Kriens;1059;LU;2659693.584;1207432.538;de;01.07.2008
Horw;6048;0;Kriens;1059;LU;2665788.076;1208167.959;de;01.07.2008
Luzern;6003;0;Luzern;1061;LU;2665227.013;1211356.366;de;01.07.2008
Luzern;6004;0;Luzern;1061;LU;2665296.635;1212489.382;de;01.07.2008
Luzern;6005;0;Luzern;1061;LU;2666558.521;1210094.764;de;01.07.2008
Luzern;6006;0;Luzern;1061;LU;2668811.824;1211710.429;de;01.07.2008
Luzern;6014;0;Luzern;1061;LU;2661014.61;1212152.019;de;01.07.2008
Luzern;6015;0;Luzern;1061;LU;2663751.689;1212860.801;de;01.07.2008
Hellbühl;6016;0;Luzern;1061;LU;2659358.138;1214009.546;de;01.07.2008
Emmenbrücke;6020;0;Luzern;1061;LU;2662619.272;1212798.046;de;01.07.2008
Kehrsiten;6365;0;Luzern;1061;LU;2673481.732;1206007.841;de;01.07.2008
Luzern;6014;0;Malters;1062;LU;2660402.677;1211994.695;de;01.07.2008
Hellbühl;6016;0;Malters;1062;LU;2657350.86;1212220.647;de;01.07.2008
Sigigen;6019;0;Malters;1062;LU;2653910.443;1210839.638;de;01.07.2008
Malters;6102;0;Malters;1062;LU;2657002.266;1209556.894;de;01.07.2008
Luzern;6006;0;Meggen;1063;LU;2669654.587;1210106.231;de;01.07.2008
Meggen;6045;0;Meggen;1063;LU;2670798.896;1211513.408;de;01.07.2008
Meierskappel;6344;0;Meierskappel;1064;LU;2675669.464;1218856.203;de;01.07.2008
Perlen;6035;0;Root;1065;LU;2670288.824;1218156.845;de;01.07.2008
Root;6037;0;Root;1065;LU;2672202.23;1218159.419;de;01.07.2008
Gisikon;6038;0;Root;1065;LU;2673190.244;1219300.756;de;01.07.2008
Root D4;6039;0;Root;1065;LU;2670966.226;1217339.434;de;01.01.2014
Udligenswil;6044;0;Root;1065;LU;2672978.594;1217651.684;de;01.07.2008
Eigenthal;6013;0;Schwarzenberg;1066;LU;2658702.071;1203542.591;de;01.07.2008
Schwarzenberg LU;6103;0;Schwarzenberg;1066;LU;2655794.976;1205123.789;de;01.07.2008
Udligenswil;6044;0;Udligenswil;1067;LU;2672911.528;1216089.239;de;01.07.2008
Vitznau;6354;0;Vitznau;1068;LU;2680020.472;1207610.425;de;01.07.2008
Rigi Kaltbad;6356;0;Vitznau;1068;LU;2678996.211;1210410.1;de;01.07.2008
Weggis;6353;0;Weggis;1069;LU;2675540.353;1210249.207;de;01.07.2008
Vitznau;6354;0;Weggis;1069;LU;2678884.861;1209369.425;de;01.07.2008
Rigi Kaltbad;6356;0;Weggis;1069;LU;2678337.976;1209969.071;de;01.07.2008
Neudorf;6025;0;Beromünster;1081;LU;2658244.669;1225528.254;de;01.07.2008
Herlisberg;6028;0;Beromünster;1081;LU;2659291.561;1228736.221;de;01.07.2008
Beromünster;6215;0;Beromünster;1081;LU;2657878.154;1229106.211;de;01.07.2008
Schwarzenbach LU;6215;2;Beromünster;1081;LU;2658591.4;1231997.205;de;01.07.2008
Rickenbach LU;6221;0;Beromünster;1081;LU;2653959.65;1227963.683;de;01.07.2008
Gunzwil;6222;0;Beromünster;1081;LU;2655485.53;1227127.837;de;01.07.2008
Büron;6233;0;Büron;1082;LU;2649735.583;1229419.721;de;01.07.2008
Buttisholz;6018;0;Buttisholz;1083;LU;2649856.098;1218333.607;de;01.07.2008
Grosswangen;6022;0;Buttisholz;1083;LU;2648922.691;1220269.769;de;01.07.2008
Eich;6205;0;Eich;1084;LU;2655743.721;1223322.838;de;01.07.2008
Schenkon;6214;0;Eich;1084;LU;2654159.918;1224245.569;de;01.07.2008
Geuensee;6232;0;Geuensee;1085;LU;2651631.103;1228226.043;de;01.07.2008
Grosswangen;6022;0;Grosswangen;1086;LU;2646744.836;1220389.903;de;01.07.2008
Hildisrieden;6024;0;Hildisrieden;1088;LU;2660397.255;1222013.901;de;01.07.2008
St. Erhard;6212;0;Knutwil;1089;LU;2647929.636;1225882.439;de;01.07.2008
Knutwil;6213;0;Knutwil;1089;LU;2647895.004;1228118.031;de;01.07.2008
Sursee;6210;0;Mauensee;1091;LU;2649481.206;1224702.274;de;01.07.2008
Kaltbach;6212;2;Mauensee;1091;LU;2646735.212;1225675.576;de;01.07.2008
Mauensee;6216;0;Mauensee;1091;LU;2647946.033;1223782.367;de;01.07.2008
Wauwil;6242;0;Mauensee;1091;LU;2645779.526;1226050.408;de;01.07.2008
Hellbühl;6016;0;Neuenkirch;1093;LU;2657491.626;1213771.143;de;01.07.2008
Rothenburg;6023;0;Neuenkirch;1093;LU;2660230.794;1218106.258;de;01.07.2008
Hildisrieden;6024;0;Neuenkirch;1093;LU;2659894.707;1220613.758;de;01.07.2008
Sempach Station;6203;0;Neuenkirch;1093;LU;2658608.027;1218930.266;de;01.07.2008
Sempach;6204;0;Neuenkirch;1093;LU;2659730.217;1220247.874;de;01.07.2008
Neuenkirch;6206;0;Neuenkirch;1093;LU;2657937.076;1216402.213;de;01.07.2008
Nottwil;6207;0;Neuenkirch;1093;LU;2654795.535;1218270.132;de;01.07.2008
Nottwil;6207;0;Nottwil;1094;LU;2653017.569;1219848.018;de;01.07.2008
Buttisholz;6018;0;Oberkirch;1095;LU;2650075.246;1221259.57;de;01.07.2008
Nottwil;6207;0;Oberkirch;1095;LU;2651084.38;1221379.289;de;01.07.2008
Oberkirch LU;6208;0;Oberkirch;1095;LU;2650331.289;1222636.58;de;01.07.2008
Sursee;6210;0;Oberkirch;1095;LU;2650032.239;1224234.285;de;01.07.2008
Mauensee;6216;0;Oberkirch;1095;LU;2649457.077;1224197.023;de;01.07.2008
Pfeffikon LU;5735;0;Rickenbach (LU);1097;LU;2654782.257;1233094.727;de;01.07.2008
Rickenbach LU;6221;0;Rickenbach (LU);1097;LU;2653884.836;1229629.763;de;01.07.2008
Hellbühl;6016;0;Ruswil;1098;LU;2656547.851;1213833.057;de;01.07.2008
Ruswil;6017;0;Ruswil;1098;LU;2652622.89;1214834.035;de;01.07.2008
Buttisholz;6018;0;Ruswil;1098;LU;2649901.287;1216557.609;de;01.07.2008
Sigigen;6019;0;Ruswil;1098;LU;2653117.802;1212463.043;de;01.07.2008
Schachen LU;6105;0;Ruswil;1098;LU;2652703.019;1210940.283;de;01.07.2008
Werthenstein;6106;0;Ruswil;1098;LU;2651135.823;1211863.94;de;01.07.2008
Wolhusen;6110;0;Ruswil;1098;LU;2649635.834;1212894.036;de;01.07.2008
Neuenkirch;6206;0;Ruswil;1098;LU;2655653.566;1215665.355;de;01.07.2008
Nottwil;6207;0;Ruswil;1098;LU;2652781.813;1218240.506;de;01.07.2008
Sursee;6210;0;Schenkon;1099;LU;2651959.53;1225142.871;de;01.07.2008
Schenkon;6214;0;Schenkon;1099;LU;2652566.881;1226114.688;de;01.07.2008
Gunzwil;6222;0;Schenkon;1099;LU;2654271.057;1224966.132;de;01.07.2008
Schlierbach;6231;0;Schlierbach;1100;LU;2651498.773;1231148.392;de;01.07.2008
Hildisrieden;6024;0;Sempach;1102;LU;2658234.788;1223309.098;de;01.07.2008
Sempach;6204;0;Sempach;1102;LU;2658240.288;1220861.406;de;01.07.2008
Sursee;6210;0;Sursee;1103;LU;2650470.776;1225365.905;de;01.07.2008
Knutwil;6213;0;Triengen;1104;LU;2647950.542;1229415.325;de;01.07.2008
Triengen;6234;0;Triengen;1104;LU;2648764.029;1231936.016;de;01.07.2008
Kulmerau;6234;1;Triengen;1104;LU;2649265.753;1233817.676;de;01.07.2008
Winikon;6235;0;Triengen;1104;LU;2645732.417;1231281.995;de;01.07.2008
Wilihof;6236;0;Triengen;1104;LU;2647142.569;1230151.244;de;01.07.2008
Wolhusen;6110;0;Wolhusen;1107;LU;2648860.564;1211800.318;de;01.07.2008
Steinhuserberg;6114;0;Wolhusen;1107;LU;2645790.641;1210655.74;de;01.07.2008
Menznau;6122;0;Wolhusen;1107;LU;2645738.562;1211803.293;de;01.07.2008
Alberswil;6248;0;Alberswil;1121;LU;2642076.368;1222023.228;de;01.07.2008
Altbüron;6147;0;Altbüron;1122;LU;2634516.649;1226748.999;de;01.07.2008
Zell LU;6144;0;Altishofen;1123;LU;2637220.587;1223576.181;de;01.07.2008
Nebikon;6244;0;Altishofen;1123;LU;2639853.634;1225940.592;de;01.07.2008
Ebersecken;6245;0;Altishofen;1123;LU;2637953.612;1225641.239;de;01.07.2008
Altishofen;6246;0;Altishofen;1123;LU;2639436.202;1228189.707;de;01.07.2008
Schötz;6247;0;Altishofen;1123;LU;2639599.256;1224361.404;de;01.07.2008
Richenthal;6263;0;Altishofen;1123;LU;2638571.741;1228109.746;de;01.07.2008
Buchs LU;6211;1;Dagmersellen;1125;LU;2645321.478;1228077.002;de;01.07.2008
Winikon;6235;0;Dagmersellen;1125;LU;2644710.356;1231163.465;de;01.07.2008
Altishofen;6246;0;Dagmersellen;1125;LU;2639426.87;1229383.793;de;01.07.2008
Dagmersellen;6252;0;Dagmersellen;1125;LU;2642363.674;1229445.642;de;01.07.2008
Uffikon;6253;0;Dagmersellen;1125;LU;2644576.35;1229615.949;de;01.07.2008
Reidermoos;6260;2;Dagmersellen;1125;LU;2643411.316;1231669.074;de;01.07.2008
Egolzwil;6243;0;Egolzwil;1127;LU;2642565.813;1225579.82;de;01.07.2008
Nebikon;6244;0;Egolzwil;1127;LU;2640914.162;1226124.516;de;01.07.2008
Grosswangen;6022;0;Ettiswil;1128;LU;2644991.176;1221565.51;de;01.07.2008
Kottwil;6217;0;Ettiswil;1128;LU;2645735.308;1223717.37;de;01.07.2008
Ettiswil;6218;0;Ettiswil;1128;LU;2643880.357;1221878.133;de;01.07.2008
Alberswil;6248;0;Ettiswil;1128;LU;2642896.019;1220865.667;de;01.07.2008
Fischbach LU;6145;0;Fischbach;1129;LU;2635311.258;1222545.588;de;01.07.2008
Hüswil;6152;0;Fischbach;1129;LU;2634302.364;1220127.46;de;01.07.2008
Ufhusen;6153;0;Fischbach;1129;LU;2634134.234;1219766.608;de;01.07.2008
Fischbach LU;6145;0;Grossdietwil;1131;LU;2634013.081;1222264.539;de;01.07.2008
Grossdietwil;6146;0;Grossdietwil;1131;LU;2634707.817;1224320.851;de;01.07.2008
Altbüron;6147;0;Grossdietwil;1131;LU;2635289.87;1227203.064;de;01.07.2008
Ebersecken;6245;0;Grossdietwil;1131;LU;2636968.313;1226423.688;de;01.07.2008
Menzberg;6125;0;Hergiswil bei Willisau;1132;LU;2641234.061;1210361.923;de;01.07.2008
Willisau;6130;0;Hergiswil bei Willisau;1132;LU;2640893.414;1215269.26;de;01.07.2008
Rohrmatt;6132;0;Hergiswil bei Willisau;1132;LU;2641042.33;1213943.139;de;01.07.2008
Hergiswil b. Willisau;6133;0;Hergiswil bei Willisau;1132;LU;2639306.14;1212413.535;de;01.07.2008
Luthern;6156;0;Hergiswil bei Willisau;1132;LU;2637156.236;1214197.645;de;01.07.2008
Eriswil;4952;0;Luthern;1135;LU;2633001.612;1210949.04;de;01.07.2008
Ufhusen;6153;0;Luthern;1135;LU;2635359.851;1216227.807;de;01.07.2008
Hofstatt;6154;0;Luthern;1135;LU;2635072.383;1214342.669;de;01.07.2008
Luthern;6156;0;Luthern;1135;LU;2635260.248;1211283.887;de;01.07.2008
Luthern Bad;6156;2;Luthern;1135;LU;2636440.084;1208683.326;de;01.07.2008
Wolhusen;6110;0;Menznau;1136;LU;2644414.325;1209050.274;de;01.07.2008
Menznau;6122;0;Menznau;1136;LU;2645558.881;1214711.97;de;01.07.2008
Geiss;6123;0;Menznau;1136;LU;2647442.179;1215760.046;de;01.07.2008
Menzberg;6125;0;Menznau;1136;LU;2642640.723;1209727.567;de;01.07.2008
Willisau;6130;0;Menznau;1136;LU;2644959.721;1217135.903;de;01.07.2008
Nebikon;6244;0;Nebikon;1137;LU;2641577.111;1226900.558;de;01.07.2008
St. Urban;4915;0;Pfaffnau;1139;LU;2631700.458;1229780.966;de;01.07.2008
Altbüron;6147;0;Pfaffnau;1139;LU;2632124.134;1227929.624;de;01.07.2008
Pfaffnau;6264;0;Pfaffnau;1139;LU;2634993.123;1231040.03;de;01.07.2008
Roggliswil;6265;0;Pfaffnau;1139;LU;2635258.757;1228179.474;de;01.07.2008
Dagmersellen;6252;0;Reiden;1140;LU;2640410.706;1231317.827;de;01.07.2008
Reiden;6260;0;Reiden;1140;LU;2640746.385;1232713.998;de;01.07.2008
Reidermoos;6260;2;Reiden;1140;LU;2642096.48;1233355.492;de;01.07.2008
Hintermoos;6260;3;Reiden;1140;LU;2643608.245;1234432.238;de;01.07.2008
Mehlsecken;6260;4;Reiden;1140;LU;2639265.754;1232751.841;de;01.07.2008
Langnau b. Reiden;6262;0;Reiden;1140;LU;2638587.187;1231158.094;de;01.07.2008
Richenthal;6263;0;Reiden;1140;LU;2637452.321;1229021.402;de;01.07.2008
Roggliswil;6265;0;Roggliswil;1142;LU;2633720.681;1229269.642;de;01.07.2008
Ohmstal;6143;0;Schötz;1143;LU;2639089.118;1223338.43;de;01.07.2008
Schötz;6247;0;Schötz;1143;LU;2641621.192;1224043.445;de;01.07.2008
Eriswil;4952;0;Ufhusen;1145;LU;2633586.196;1215115.393;de;01.07.2008
Gondiswil;4955;0;Ufhusen;1145;LU;2633867.242;1219764.373;de;01.07.2008
Ufhusen;6153;0;Ufhusen;1145;LU;2634852.869;1217521.287;de;01.07.2008
Wauwil;6242;0;Wauwil;1146;LU;2644884.932;1226095.082;de;01.07.2008
Wikon;4806;0;Wikon;1147;LU;2640252.379;1235090.128;de;01.07.2008
Reidermoos;6260;2;Wikon;1147;LU;2642670.028;1234706.658;de;01.07.2008
Hintermoos;6260;3;Wikon;1147;LU;2642190.042;1235697.511;de;01.07.2008
Zell LU;6144;0;Zell (LU);1150;LU;2637040.358;1220880.892;de;01.07.2008
Hüswil;6152;0;Zell (LU);1150;LU;2635380.753;1219886.824;de;01.07.2008
Ufhusen;6153;0;Zell (LU);1150;LU;2636373.453;1217892.057;de;01.07.2008
Menznau;6122;0;Willisau;1151;LU;2644329.687;1216010.507;de;01.07.2008
Menzberg;6125;0;Willisau;1151;LU;2642040.735;1211402.413;de;01.07.2008
Daiwil;6126;0;Willisau;1151;LU;2643445.886;1216519.478;de;01.07.2008
Willisau;6130;0;Willisau;1151;LU;2641179.68;1218280.239;de;01.07.2008
Rohrmatt;6132;0;Willisau;1151;LU;2641453.049;1213882.259;de;01.07.2008
Hergiswil b. Willisau;6133;0;Willisau;1151;LU;2638735.253;1216391.41;de;01.07.2008
Gettnau;6142;0;Willisau;1151;LU;2640335.221;1220954.383;de;01.07.2008
Ohmstal;6143;0;Willisau;1151;LU;2640298.049;1222069.901;de;01.07.2008
Zell LU;6144;0;Willisau;1151;LU;2637093.558;1218652.787;de;01.07.2008
Hofstatt;6154;0;Willisau;1151;LU;2637139.256;1216747.989;de;01.07.2008
Luthern;6156;0;Willisau;1151;LU;2637164.002;1215378.519;de;01.07.2008
Alberswil;6248;0;Willisau;1151;LU;2642808.138;1220780.204;de;01.07.2008
Altdorf UR;6460;0;Altdorf (UR);1201;UR;2691654.823;1193646.746;de;01.07.2008
Andermatt;6490;0;Andermatt;1202;UR;2690054.354;1163585.716;de;01.07.2008
Engelberg;6390;0;Attinghausen;1203;UR;2681609.322;1185099.153;de;01.07.2008
Attinghausen;6468;0;Attinghausen;1203;UR;2689022.366;1190176.576;de;01.07.2008
Muotathal;6436;0;Bürglen (UR);1205;UR;2699941.84;1197070.549;de;01.07.2008
Bisisthal;6436;2;Bürglen (UR);1205;UR;2704460.555;1198289.672;de;01.07.2008
Altdorf UR;6460;0;Bürglen (UR);1205;UR;2691915.301;1191599.418;de;01.07.2008
Bürglen UR;6463;0;Bürglen (UR);1205;UR;2695019.67;1194002.669;de;01.07.2008
Spiringen;6464;0;Bürglen (UR);1205;UR;2696027.289;1191889.809;de;01.07.2008
Haldi b. Schattdorf;6469;0;Bürglen (UR);1205;UR;2695058.429;1190699.711;de;01.07.2008
Erstfeld;6472;0;Erstfeld;1206;UR;2688711.55;1185274.283;de;01.07.2008
Flüelen;6454;0;Flüelen;1207;UR;2692063.48;1197130.255;de;01.07.2008
Altdorf UR;6460;0;Flüelen;1207;UR;2692398.744;1196208.479;de;01.07.2008
Göschenen;6487;0;Göschenen;1208;UR;2682616.539;1169050.941;de;01.07.2008
Silenen;6473;0;Gurtnellen;1209;UR;2692838.855;1182987.664;de;01.07.2008
Amsteg;6474;0;Gurtnellen;1209;UR;2692771.888;1181580.217;de;01.07.2008
Intschi;6476;0;Gurtnellen;1209;UR;2692229.765;1180316.19;de;01.07.2008
Gurtnellen;6482;0;Gurtnellen;1209;UR;2691487.553;1175901.503;de;01.07.2008
Hospental;6493;0;Hospental;1210;UR;2685796.844;1162605.827;de;01.07.2008
Isenthal;6461;0;Isenthal;1211;UR;2682913.203;1193036.002;de;01.07.2008
Realp;6491;0;Realp;1212;UR;2679251.282;1158924.626;de;01.07.2008
Schattdorf;6467;0;Schattdorf;1213;UR;2692662.171;1190253.542;de;01.07.2008
Haldi b. Schattdorf;6469;0;Schattdorf;1213;UR;2695330.637;1189261.803;de;01.07.2008
Seedorf UR;6462;0;Seedorf (UR);1214;UR;2687625.097;1193581.486;de;01.07.2008
Bauen;6466;0;Seedorf (UR);1214;UR;2686672.733;1198416.077;de;01.07.2008
Seelisberg;6377;0;Seelisberg;1215;UR;2686058.909;1202844.81;de;01.07.2008
Rütli;6441;2;Seelisberg;1215;UR;2687814.607;1202658.845;de;01.07.2008
Erstfeld;6472;0;Silenen;1216;UR;2694625.304;1185591.814;de;01.07.2008
Silenen;6473;0;Silenen;1216;UR;2695674.403;1184182.866;de;01.07.2008
Amsteg;6474;0;Silenen;1216;UR;2694087.975;1180977.672;de;01.07.2008
Bristen;6475;0;Silenen;1216;UR;2700314.27;1180864.132;de;01.07.2008
Intschi;6476;0;Silenen;1216;UR;2693124.359;1179294.974;de;01.07.2008
Sisikon;6452;0;Sisikon;1217;UR;2691272.55;1199687.736;de;01.07.2008
Riemenstalden;6452;2;Sisikon;1217;UR;2694975.026;1199338.873;de;01.07.2008
Spiringen;6464;0;Spiringen;1218;UR;2699014.751;1192201.422;de;01.07.2008
Urnerboden;8751;0;Spiringen;1218;UR;2712002.921;1193147.218;de;01.07.2008
Bisisthal;6436;2;Unterschächen;1219;UR;2705330.626;1195252.639;de;01.07.2008
Unterschächen;6465;0;Unterschächen;1219;UR;2702463.392;1189942.492;de;01.07.2008
Wassen UR;6484;0;Wassen;1220;UR;2688760.377;1172872.294;de;01.07.2008
Meien;6485;0;Wassen;1220;UR;2682379.696;1176154.426;de;01.07.2008
Bennau;8836;0;Einsiedeln;1301;SZ;2696937.361;1222859.547;de;01.07.2008
Einsiedeln;8840;0;Einsiedeln;1301;SZ;2698493.177;1221093.95;de;01.07.2008
Trachslau;8840;2;Einsiedeln;1301;SZ;2698018.723;1217511.213;de;01.07.2008
Gross;8841;0;Einsiedeln;1301;SZ;2700474.077;1216829.545;de;01.07.2008
Euthal;8844;0;Einsiedeln;1301;SZ;2706607.938;1216690.275;de;01.07.2008
Willerzell;8846;0;Einsiedeln;1301;SZ;2704573.016;1221034.714;de;01.07.2008
Egg SZ;8847;0;Einsiedeln;1301;SZ;2701635.255;1224332.443;de;01.07.2008
Rigi Scheidegg;6410;5;Gersau;1311;SZ;2682132.099;1208948.897;de;01.07.2008
Gersau;6442;0;Gersau;1311;SZ;2683209.538;1206831.039;de;01.07.2008
Wollerau;8832;0;Feusisberg;1321;SZ;2696567.565;1226910.235;de;01.07.2008
Schindellegi;8834;0;Feusisberg;1321;SZ;2696066.068;1225584.154;de;01.07.2008
Feusisberg;8835;0;Feusisberg;1321;SZ;2700029.263;1226221.716;de;01.07.2008
Bennau;8836;0;Feusisberg;1321;SZ;2696524.522;1223639.407;de;01.07.2008
Egg SZ;8847;0;Feusisberg;1321;SZ;2699890.115;1225504.366;de;01.07.2008
Hurden;8640;3;Freienbach;1322;SZ;2702929.458;1230040.694;de;01.07.2008
Bäch SZ;8806;0;Freienbach;1322;SZ;2698465.209;1228920.03;de;01.07.2008
Freienbach;8807;0;Freienbach;1322;SZ;2699728.471;1228717.485;de;01.07.2008
Pfäffikon SZ;8808;0;Freienbach;1322;SZ;2701940.288;1227510.542;de;01.07.2008
Wollerau;8832;0;Freienbach;1322;SZ;2699548.651;1228048.792;de;01.07.2008
Wilen b. Wollerau;8832;2;Freienbach;1322;SZ;2698211.814;1227925.512;de;01.07.2008
Bäch SZ;8806;0;Wollerau;1323;SZ;2696909.967;1228530.552;de;01.07.2008
Wollerau;8832;0;Wollerau;1323;SZ;2696145.763;1227318.467;de;01.07.2008
Samstagern;8833;0;Wollerau;1323;SZ;2694776.196;1227200.958;de;01.07.2008
Schindellegi;8834;0;Wollerau;1323;SZ;2695057.863;1225660.676;de;01.07.2008
Merlischachen;6402;0;Küssnacht (SZ);1331;SZ;2673477.246;1213731.234;de;01.07.2008
Küssnacht am Rigi;6403;0;Küssnacht (SZ);1331;SZ;2676606.89;1215323.065;de;01.07.2008
Immensee;6405;0;Küssnacht (SZ);1331;SZ;2678159.204;1217695.739;de;01.07.2008
Willerzell;8846;0;Altendorf;1341;SZ;2705141.891;1222985.308;de;01.07.2008
Altendorf;8852;0;Altendorf;1341;SZ;2705133.324;1225551.651;de;01.07.2008
Lachen SZ;8853;0;Galgenen;1342;SZ;2707885.059;1227025.808;de;01.07.2008
Siebnen;8854;0;Galgenen;1342;SZ;2709655.23;1223479.01;de;01.07.2008
Galgenen;8854;2;Galgenen;1342;SZ;2708431.378;1225334.765;de;01.07.2008
Innerthal;8858;0;Innerthal;1343;SZ;2712598.373;1212624.578;de;01.07.2008
Lachen SZ;8853;0;Lachen;1344;SZ;2707564.97;1227881.73;de;01.07.2008
Reichenburg;8864;0;Reichenburg;1345;SZ;2716544.716;1224304.912;de;01.07.2008
Siebnen;8854;0;Schübelbach;1346;SZ;2712475.157;1223020.399;de;01.07.2008
Wangen SZ;8855;0;Schübelbach;1346;SZ;2711592.23;1226943.503;de;01.07.2008
Schübelbach;8862;0;Schübelbach;1346;SZ;2712967.402;1225785.105;de;01.07.2008
Buttikon SZ;8863;0;Schübelbach;1346;SZ;2714330.662;1225314.375;de;01.07.2008
Uznach;8730;0;Tuggen;1347;SZ;2715915.265;1230332.44;de;01.07.2008
Wangen SZ;8855;0;Tuggen;1347;SZ;2711661.04;1227785.6;de;01.07.2008
Tuggen;8856;0;Tuggen;1347;SZ;2713711.819;1228811.954;de;01.07.2008
Vorderthal;8857;0;Vorderthal;1348;SZ;2710477.617;1220421.249;de;01.07.2008
Lachen SZ;8853;0;Wangen (SZ);1349;SZ;2707876.232;1228912.974;de;01.07.2008
Siebnen;8854;0;Wangen (SZ);1349;SZ;2710382.287;1226579.289;de;01.07.2008
Wangen SZ;8855;0;Wangen (SZ);1349;SZ;2710209.128;1228207.306;de;01.07.2008
Alpthal;8849;0;Alpthal;1361;SZ;2697001.815;1212491.863;de;01.07.2008
Walchwil;6318;0;Arth;1362;SZ;2682362.279;1215998.565;de;01.07.2008
Rigi Kaltbad;6356;0;Arth;1362;SZ;2680884.81;1209793.296;de;01.07.2008
Goldau;6410;0;Arth;1362;SZ;2683737.357;1211320.16;de;01.07.2008
Rigi Klösterli;6410;2;Arth;1362;SZ;2680395.341;1210785.08;de;01.07.2008
Rigi Staffel;6410;3;Arth;1362;SZ;2678864.078;1211514.145;de;01.07.2008
Rigi Kulm;6410;4;Arth;1362;SZ;2679822.187;1212348.027;de;01.07.2008
Oberarth;6414;0;Arth;1362;SZ;2683490.325;1212210.83;de;01.07.2008
Arth;6415;0;Arth;1362;SZ;2684121.477;1214209.027;de;01.07.2008
Steinerberg;6416;0;Arth;1362;SZ;2685676.227;1213543.069;de;01.07.2008
Illgau;6434;0;Illgau;1363;SZ;2698651.835;1205963.547;de;01.07.2008
Seewen SZ;6423;0;Ingenbohl;1364;SZ;2688573.265;1207886.834;de;01.07.2008
